Body_Temperature,Heart_Rate,Pulse_Rate,SpO2,ECG,Anomaly_Type,Normal
93.0,102,60,73,400,1,0
123.2,104,12,60,747,1,0
97.7,22,61,17,930,1,0
149.0,32,141,89,993,1,0
113.3,90,14,7,636,1,0
77.4,140,48,50,308,1,0
149.2,27,87,52,8,1,0
141.8,126,123,62,589,1,0
130.4,55,56,16,2,1,0
73.6,20,60,87,183,1,0
124.8,116,11,31,698,1,0
74.7,117,143,0,197,1,0
98.5,114,43,48,147,1,0
58.5,78,83,42,957,1,0
111.4,29,55,92,579,1,0
103.6,137,101,73,563,1,0
86.0,77,104,31,106,1,0
111.1,142,143,3,243,1,0
56.9,102,34,23,576,1,0
126.7,102,110,26,56,1,0
140.2,129,41,20,989,1,0
76.7,17,126,29,8,1,0
133.9,66,134,65,565,1,0
59.7,149,87,39,931,1,0
128.0,146,92,59,594,1,0
129.1,74,104,71,243,1,0
69.0,38,111,41,880,1,0
80.7,20,34,70,638,1,0
104.7,79,27,47,379,1,0
78.6,23,138,4,595,1,0
50.6,59,86,85,602,1,0
78.0,113,66,12,709,1,0
85.5,14,97,38,439,1,0
134.2,135,34,74,240,1,0
98.3,80,60,63,190,1,0
61.3,34,15,17,595,1,0
52.1,59,48,84,327,1,0
92.3,3,66,40,167,1,0
56.6,19,147,37,246,1,0
56.7,122,52,5,781,1,0
54.0,70,50,75,788,1,0
107.2,15,53,86,464,1,0
81.2,145,134,53,795,1,0
128.7,22,140,95,171,1,0
121.3,107,138,44,148,1,0
71.8,13,76,97,523,1,0
99.5,141,98,14,575,1,0
125.1,139,0,71,416,1,0
109.4,117,126,68,894,1,0
101.7,93,134,66,558,1,0
130.4,116,19,86,413,1,0
53.3,114,18,69,957,1,0
101.8,149,88,16,230,1,0
104.0,141,63,65,808,1,0
113.7,128,58,9,761,1,0
104.2,72,47,37,508,1,0
61.2,68,42,22,105,1,0
112.7,44,30,50,22,1,0
130.0,125,135,95,58,1,0
145.8,97,29,45,542,1,0
97.2,67,66,95,590,0,0
97.38,66,65,95,567,0,0
97.6,65,64,95,557,0,0
97.8,67,68,95,525,0,0
97.67,69,68,95,566,0,0
97.42,70,71,95,606,0,0
97.27,70,69,95,556,0,0
97.36,69,69,96,579,0,0
97.16,70,69,96,586,0,0
97.01,69,68,96,581,0,0
97.23,71,70,96,700,0,0
97.07,72,72,96,536,0,0
97.19,71,72,95,579,0,0
97.0,69,68,95,542,0,0
97.06,69,70,96,577,0,0
97.0,71,70,96,575,0,0
97.0,70,69,96,565,0,0
97.11,70,69,96,585,0,0
97.13,70,69,96,594,0,0
97.02,71,71,97,566,0,0
97.03,69,68,97,578,0,0
97.09,71,71,97,606,0,0
97.18,72,72,98,613,0,0
97.23,70,70,97,573,0,0
97.16,70,69,97,601,0,0
97.4,70,70,97,580,0,0
97.22,72,73,96,535,0,0
97.38,73,73,96,579,0,0
97.46,71,70,95,609,0,0
97.22,71,72,95,571,0,0
97.37,71,71,95,604,0,0
97.49,70,70,95,540,0,0
97.59,71,72,95,550,0,0
97.34,73,73,95,613,0,0
97.44,72,72,96,529,0,0
97.44,71,72,96,573,0,0
97.53,73,72,96,545,0,0
97.46,73,72,95,555,0,0
97.37,72,71,95,584,0,0
97.29,73,72,95,530,0,0
97.05,74,74,95,555,0,0
97.07,73,72,95,556,0,0
97.0,75,76,95,588,0,0
97.05,76,77,95,516,0,0
97.02,77,77,95,577,0,0
97.04,76,77,95,566,0,0
97.0,76,77,95,520,0,0
97.13,75,74,95,598,0,0
97.0,76,75,95,511,0,0
97.01,75,76,95,537,0,0
97.0,77,77,95,532,0,0
97.0,77,78,95,583,0,0
97.0,79,79,95,563,0,0
97.14,80,80,95,518,0,0
97.14,78,78,95,563,0,0
97.17,78,79,95,531,0,0
97.05,79,78,95,555,0,0
97.26,79,78,95,550,0,0
97.13,77,76,95,533,0,0
97.33,77,76,96,700,0,0
97.11,78,79,96,460,0,0
97.0,76,76,95,506,0,0
97.05,74,75,96,540,0,0
97.25,73,73,97,560,0,0
97.37,72,72,97,541,0,0
97.34,71,72,98,552,0,0
97.41,70,70,97,561,0,0
97.23,69,70,96,564,0,0
97.26,69,70,96,534,0,0
97.26,68,68,95,523,0,0
97.16,66,65,96,529,0,0
97.01,66,65,95,511,0,0
97.04,64,65,96,522,0,0
97.09,66,65,97,487,0,0
97.18,67,66,97,534,0,0
97.24,66,66,96,503,0,0
97.02,68,68,96,510,0,0
97.01,68,68,97,549,0,0
97.15,66,65,97,501,0,0
97.23,66,65,98,507,0,0
97.04,66,67,99,518,0,0
97.2,67,67,99,507,0,0
97.35,65,65,98,554,0,0
97.3,64,63,98,526,0,0
97.51,65,65,97,502,0,0
97.54,66,67,97,496,0,0
97.48,68,68,97,550,0,0
97.72,68,68,96,509,0,0
97.75,66,67,96,549,0,0
97.83,67,67,96,495,0,0
97.7,65,66,96,526,0,0
97.73,65,64,96,541,0,0
97.67,65,64,96,571,0,0
97.88,65,65,96,495,0,0
97.78,66,65,95,486,0,0
97.74,65,64,95,541,0,0
97.85,67,67,95,492,0,0
97.81,67,67,95,500,0,0
97.61,69,69,95,535,0,0
97.78,67,68,95,512,0,0
97.68,68,69,95,601,0,0
97.6,69,70,95,700,0,0
97.36,68,68,95,485,0,0
97.17,68,68,95,530,0,0
97.31,67,67,95,564,0,0
97.16,68,67,95,571,0,0
97.0,67,67,95,546,0,0
97.0,67,66,96,610,0,0
97.0,68,67,97,560,0,0
97.18,69,68,98,555,0,0
97.19,69,70,97,552,0,0
97.2,69,68,97,583,0,0
97.39,71,70,98,579,0,0
97.38,70,70,99,574,0,0
97.39,72,73,99,593,0,0
97.26,72,71,99,574,0,0
97.5,71,70,99,569,0,0
97.73,72,73,99,592,0,0
97.77,71,72,99,597,0,0
97.93,69,70,100,566,0,0
98.13,70,71,99,663,0,0
97.97,69,69,100,610,0,0
97.84,67,66,100,565,0,0
97.77,66,65,99,585,0,0
97.63,65,64,98,615,0,0
97.85,65,64,98,611,0,0
97.94,65,64,99,568,0,0
97.86,64,64,98,588,0,0
97.8,64,65,98,569,0,0
98.04,65,65,98,583,0,0
98.23,66,67,98,549,0,0
98.23,68,68,98,588,0,0
98.05,68,69,98,569,0,0
97.88,68,68,99,564,0,0
97.95,67,67,98,575,0,0
97.98,65,65,99,554,0,0
97.9,64,63,98,567,0,0
97.96,63,62,98,530,0,0
97.99,62,62,97,549,0,0
97.97,62,62,96,545,0,0
97.96,61,62,96,587,0,0
97.89,60,59,95,573,0,0
97.72,60,61,96,572,0,0
97.47,60,61,97,565,0,0
97.43,60,61,97,580,0,0
