Body_Temperature,Heart_Rate,Pulse_Rate,SpO2,ECG,Anomaly_Type,Normal
131.6,25,25,89,699,1,1
104.4,40,43,23,851,1,1
142.2,64,147,51,615,1,1
96.0,107,27,34,492,1,1
69.1,92,79,9,610,1,1
120.5,103,11,97,942,1,1
125.4,117,74,34,212,1,1
114.5,16,133,71,167,1,1
88.9,36,89,43,515,1,1
106.1,148,84,93,788,1,1
102.7,147,100,85,289,1,1
102.6,143,75,42,476,1,1
143.4,69,99,52,39,1,1
121.1,67,141,50,415,1,1
58.0,74,123,23,995,1,1
141.0,40,101,39,381,1,1
124.7,27,17,13,288,1,1
129.4,119,27,95,670,1,1
69.5,86,25,0,259,1,1
147.7,52,80,2,544,1,1
132.5,3,113,24,966,1,1
100.5,126,148,60,981,1,1
50.8,65,57,67,921,1,1
124.3,10,14,80,231,1,1
135.3,124,88,44,471,1,1
143.5,62,9,79,458,1,1
97.2,94,76,10,144,1,1
83.2,21,105,76,755,1,1
84.8,141,81,60,369,1,1
90.0,35,12,11,194,1,1
67.4,118,13,17,355,1,1
53.6,142,131,17,857,1,1
100.8,84,46,67,15,1,1
149.6,143,115,75,606,1,1
60.1,78,103,62,860,1,1
123.1,128,86,55,644,1,1
90.2,67,33,24,643,1,1
146.7,31,82,80,557,1,1
137.8,131,89,78,954,1,1
116.3,122,37,45,760,1,1
83.9,20,29,15,394,1,1
107.8,138,77,81,307,1,1
132.9,68,86,60,919,1,1
85.3,12,15,73,434,1,1
93.0,67,87,21,402,1,1
118.0,109,126,77,656,1,1
145.0,0,49,51,320,1,1
95.9,67,64,8,691,1,1
63.7,87,79,77,573,1,1
79.7,19,81,34,712,1,1
80.1,55,101,59,924,1,1
130.9,36,57,69,597,1,1
72.4,39,9,37,206,1,1
75.3,122,110,89,238,1,1
113.2,115,146,96,308,1,1
143.5,33,63,99,496,1,1
113.1,114,19,80,463,1,1
71.0,24,11,77,90,1,1
79.5,36,89,27,488,1,1
122.0,140,6,70,678,1,1
97.34,80,81,91,561,0,1
97.25,80,79,90,570,0,1
97.43,80,82,92,558,0,1
97.21,81,83,94,534,0,1
97.25,80,80,92,533,0,1
97.18,80,82,94,572,0,1
97.24,82,83,95,588,0,1
97.19,80,79,95,601,0,1
97.27,81,83,93,587,0,1
97.22,83,84,92,587,0,1
97.01,81,83,94,700,0,1
97.0,80,81,93,504,0,1
97.13,82,84,94,531,0,1
97.37,80,81,93,562,0,1
97.21,82,82,94,604,0,1
97.24,84,85,95,589,0,1
97.0,83,81,94,563,0,1
97.14,83,84,95,583,0,1
97.0,82,83,95,570,0,1
97.0,81,83,95,571,0,1
97.0,80,79,95,571,0,1
97.09,82,80,95,609,0,1
97.24,80,81,94,601,0,1
97.42,83,85,95,606,0,1
97.53,84,84,94,561,0,1
97.59,87,87,92,581,0,1
97.43,88,87,93,581,0,1
97.35,87,87,93,572,0,1
97.44,87,86,92,596,0,1
97.64,84,85,92,541,0,1
97.6,83,85,90,560,0,1
97.59,81,82,90,576,0,1
97.64,80,80,91,539,0,1
97.66,80,81,90,578,0,1
97.69,80,81,90,591,0,1
97.63,80,80,91,537,0,1
97.63,80,79,92,574,0,1
97.77,80,79,93,525,0,1
97.76,82,81,94,594,0,1
97.99,80,80,94,553,0,1
97.95,80,80,93,540,0,1
97.85,82,81,93,541,0,1
97.91,81,79,91,633,0,1
97.92,82,84,91,572,0,1
98.01,82,84,90,561,0,1
97.82,82,82,90,563,0,1
97.81,85,84,90,566,0,1
97.63,83,85,90,547,0,1
97.5,83,83,90,569,0,1
97.56,82,82,90,700,0,1
97.46,81,82,90,483,0,1
97.57,81,83,90,556,0,1
97.65,82,82,90,520,0,1
97.5,80,78,91,562,0,1
97.28,81,81,91,508,0,1
97.21,83,81,92,552,0,1
97.4,85,87,91,555,0,1
97.6,83,84,92,573,0,1
97.65,84,86,90,518,0,1
97.78,84,84,90,531,0,1
97.96,82,83,90,546,0,1
97.76,83,81,90,578,0,1
97.67,83,84,91,567,0,1
97.89,80,79,92,579,0,1
97.79,80,79,91,548,0,1
97.92,80,78,90,539,0,1
97.88,81,79,90,569,0,1
97.9,84,85,90,554,0,1
97.68,82,81,90,512,0,1
97.45,80,82,90,519,0,1
97.23,80,80,90,563,0,1
97.04,80,81,92,527,0,1
97.22,81,83,93,541,0,1
97.33,81,82,95,521,0,1
97.09,80,79,95,551,0,1
97.33,80,81,93,533,0,1
97.54,80,80,93,492,0,1
97.73,80,80,95,506,0,1
97.51,81,81,95,489,0,1
97.43,83,83,95,528,0,1
97.68,83,85,93,541,0,1
97.5,80,80,95,562,0,1
97.66,80,79,95,511,0,1
97.53,81,79,93,519,0,1
97.59,81,82,93,534,0,1
97.45,83,85,92,511,0,1
97.33,83,82,92,538,0,1
97.19,83,81,90,522,0,1
97.02,84,86,90,495,0,1
97.15,84,83,90,509,0,1
97.04,83,85,91,521,0,1
97.01,84,85,90,667,0,1
97.12,86,88,90,473,0,1
97.27,86,85,90,458,0,1
97.4,87,88,90,545,0,1
97.25,87,85,90,526,0,1
97.29,85,87,91,508,0,1
97.14,82,83,90,537,0,1
97.05,80,82,90,548,0,1
97.01,80,82,90,556,0,1
97.0,82,84,90,535,0,1
97.0,84,84,90,543,0,1
97.0,84,86,90,557,0,1
97.0,82,81,90,565,0,1
97.0,83,83,90,578,0,1
97.23,80,78,91,582,0,1
97.13,80,80,92,556,0,1
97.24,80,79,90,583,0,1
97.43,80,79,91,612,0,1
97.26,81,79,90,562,0,1
97.41,83,83,91,598,0,1
97.19,84,82,91,580,0,1
97.0,81,79,92,550,0,1
97.0,80,79,92,544,0,1
97.0,82,84,91,564,0,1
97.07,82,84,90,600,0,1
97.0,85,86,91,574,0,1
97.15,86,88,90,555,0,1
97.37,88,86,90,609,0,1
97.53,86,87,91,572,0,1
97.38,84,83,90,637,0,1
97.28,83,82,90,592,0,1
97.27,85,83,91,612,0,1
97.28,82,83,90,573,0,1
97.43,80,80,90,560,0,1
97.37,83,84,91,582,0,1
97.15,85,84,93,575,0,1
97.2,86,87,91,562,0,1
97.17,86,84,90,571,0,1
97.29,89,90,92,581,0,1
97.43,90,88,91,597,0,1
97.65,87,85,92,590,0,1
97.54,85,87,90,590,0,1
97.78,83,82,91,550,0,1
97.95,81,80,90,684,0,1
97.86,83,83,90,519,0,1
97.9,83,83,90,523,0,1
97.86,85,86,90,543,0,1
97.69,82,81,90,538,0,1
97.52,81,83,90,566,0,1
97.71,81,81,90,552,0,1
97.49,81,83,90,555,0,1
97.44,81,79,90,563,0,1
97.37,80,82,90,571,0,1
97.57,80,78,91,560,0,1
97.51,80,80,90,563,0,1
97.46,81,83,90,595,0,1
97.64,80,81,91,549,0,1
97.66,80,80,90,576,0,1
97.89,82,82,92,561,0,1
98.1,81,82,92,535,0,1
97.89,83,83,92,584,0,1
97.95,83,83,92,578,0,1
97.87,81,80,93,509,0,1
97.86,82,82,93,549,0,1
98.09,84,86,92,595,0,1
98.12,83,85,90,500,0,1
98.16,84,82,92,574,0,1
97.93,84,84,93,553,0,1
97.94,85,87,92,573,0,1
97.96,88,89,93,520,0,1
98.12,88,87,93,564,0,1
98.12,90,88,93,515,0,1
98.34,89,87,92,533,0,1
98.29,91,93,90,557,0,1
98.4,91,93,90,506,0,1
98.53,88,87,90,544,0,1
98.7,86,87,91,529,0,1
98.88,88,89,90,562,0,1
99.0,89,90,90,547,0,1
99.0,90,91,90,529,0,1
98.82,90,89,90,523,0,1
98.81,89,87,90,507,0,1
98.78,87,85,90,548,0,1
98.58,87,87,90,511,0,1
98.59,90,92,90,504,0,1
98.43,92,93,91,498,0,1
98.54,91,90,92,502,0,1
98.73,91,91,92,496,0,1
98.85,89,88,94,533,0,1
90.9,47,17,77,67,1,1
100.7,39,62,94,639,1,1
82.7,3,70,39,703,1,1
61.6,78,88,44,891,1,1
74.1,109,85,89,543,1,1
96.2,45,56,18,287,1,1
141.0,22,10,1,696,1,1
142.7,66,90,6,798,1,1
115.5,84,28,67,633,1,1
134.6,77,11,60,622,1,1
117.7,95,8,40,868,1,1
89.2,34,131,29,680,1,1
114.5,67,63,56,713,1,1
91.9,15,136,30,634,1,1
58.3,54,140,74,41,1,1
94.6,132,1,20,937,1,1
120.1,72,36,70,719,1,1
78.7,5,134,13,860,1,1
108.5,145,102,53,438,1,1
136.8,81,128,68,378,1,1
69.4,4,102,84,223,1,1
71.7,104,81,11,616,1,1
96.6,120,75,17,987,1,1
108.8,91,137,97,432,1,1
70.3,28,106,59,532,1,1
77.1,134,76,37,709,1,1
127.0,91,127,89,387,1,1
77.4,41,40,8,157,1,1
56.6,118,73,70,994,1,1
88.0,5,81,76,988,1,1
139.3,60,54,61,891,1,1
72.4,78,36,50,731,1,1
88.8,88,89,75,184,1,1
104.0,118,32,43,937,1,1
100.2,139,51,60,414,1,1
136.2,57,15,25,101,1,1
98.7,108,122,98,350,1,1
70.6,147,74,47,387,1,1
111.2,110,13,59,980,1,1
83.7,112,53,91,771,1,1
84.9,5,115,28,339,1,1
119.5,19,74,30,355,1,1
107.3,88,123,80,112,1,1
59.9,100,68,58,810,1,1
120.4,95,79,39,171,1,1
91.3,15,106,77,120,1,1
71.7,121,10,88,151,1,1
136.1,85,83,19,844,1,1
81.0,4,49,63,553,1,1
55.6,31,87,89,216,1,1
61.0,120,72,74,856,1,1
54.1,47,136,82,886,1,1
135.4,62,31,36,913,1,1
98.8,33,3,23,364,1,1
142.1,43,52,89,719,1,1
109.8,33,129,50,548,1,1
108.4,82,1,0,830,1,1
93.4,103,122,92,112,1,1
114.2,29,119,72,234,1,1
81.1,124,132,96,81,1,1
