Body_Temperature,Heart_Rate,Pulse_Rate,SpO2,ECG,Anomaly_Type,Normal
71.0,29,48,51,812,1,0
136.0,104,84,20,219,1,0
78.1,128,66,80,387,1,0
79.1,24,46,24,656,1,0
106.6,93,128,13,118,1,0
62.0,59,35,32,521,1,0
85.4,35,39,74,110,1,0
86.9,130,71,98,502,1,0
120.1,10,97,49,479,1,0
109.1,144,105,58,626,1,0
102.5,121,31,16,489,1,0
104.6,21,147,42,596,1,0
134.9,84,60,95,79,1,0
142.2,121,60,1,576,1,0
66.5,88,145,8,807,1,0
119.0,92,133,62,187,1,0
94.7,110,9,5,533,1,0
51.5,73,35,74,53,1,0
60.2,34,121,60,592,1,0
115.5,143,67,31,190,1,0
56.4,29,54,45,298,1,0
61.4,24,42,8,470,1,0
135.3,75,116,15,872,1,0
145.2,140,145,33,458,1,0
137.2,108,58,99,42,1,0
118.9,119,129,70,169,1,0
142.9,1,27,63,333,1,0
119.6,101,40,72,104,1,0
101.2,114,148,17,136,1,0
129.8,58,68,94,286,1,0
111.5,125,93,41,163,1,0
112.1,8,69,72,866,1,0
55.8,59,108,83,287,1,0
115.4,94,8,23,479,1,0
67.1,104,107,17,447,1,0
143.2,44,120,82,20,1,0
52.3,127,54,19,992,1,0
72.9,10,101,81,87,1,0
78.9,21,1,27,645,1,0
143.3,105,105,60,290,1,0
105.9,107,61,52,963,1,0
149.6,8,51,46,31,1,0
148.1,66,26,49,441,1,0
138.2,139,71,37,731,1,0
109.5,100,35,1,913,1,0
122.5,101,49,76,86,1,0
105.5,10,32,54,99,1,0
65.1,59,39,1,37,1,0
128.4,22,108,98,736,1,0
126.8,12,118,12,893,1,0
101.9,93,76,82,746,1,0
58.2,144,11,81,0,1,0
111.4,89,53,75,571,1,0
142.5,40,29,73,51,1,0
65.3,149,20,88,394,1,0
120.0,129,27,11,705,1,0
66.9,119,52,54,7,1,0
55.2,131,112,39,594,1,0
122.3,38,64,27,289,1,0
119.8,144,72,8,92,1,0
98.24,64,64,95,552,0,0
98.05,65,64,95,533,0,0
97.93,67,66,95,558,0,0
97.81,67,68,95,535,0,0
97.95,68,69,95,578,0,0
97.98,69,69,95,541,0,0
97.85,68,68,96,557,0,0
98.07,69,68,96,623,0,0
98.15,68,68,96,564,0,0
98.31,69,70,95,548,0,0
98.16,71,72,95,700,0,0
98.02,72,72,95,534,0,0
98.26,72,71,95,570,0,0
98.41,73,73,95,602,0,0
98.18,73,73,95,589,0,0
98.34,74,74,95,600,0,0
98.25,76,75,95,617,0,0
98.02,77,77,95,601,0,0
98.15,79,79,95,586,0,0
98.15,80,79,95,540,0,0
97.93,80,81,95,606,0,0
98.0,78,79,95,613,0,0
98.21,79,78,95,561,0,0
98.13,77,78,95,616,0,0
98.33,75,74,95,580,0,0
98.49,75,74,95,576,0,0
98.31,73,74,95,595,0,0
98.37,74,73,95,585,0,0
98.32,73,74,96,585,0,0
98.18,74,73,96,588,0,0
98.15,72,72,97,539,0,0
98.39,72,72,97,557,0,0
98.3,70,71,96,562,0,0
98.38,69,70,96,549,0,0
98.6,71,71,95,509,0,0
98.62,72,73,95,554,0,0
98.68,71,72,95,552,0,0
98.46,73,74,95,602,0,0
98.3,72,72,96,581,0,0
98.39,72,71,97,576,0,0
98.59,71,72,97,561,0,0
98.82,73,73,97,568,0,0
99.0,72,72,97,558,0,0
99.0,71,72,98,508,0,0
99.0,72,72,98,575,0,0
98.96,73,74,99,591,0,0
99.0,74,74,98,521,0,0
98.92,75,74,98,543,0,0
98.82,74,74,98,581,0,0
99.0,74,74,97,586,0,0
99.0,73,73,97,521,0,0
99.0,72,73,98,601,0,0
98.95,72,72,98,566,0,0
99.0,73,74,98,540,0,0
99.0,73,74,98,527,0,0
99.0,72,73,99,554,0,0
99.0,71,71,99,700,0,0
99.0,70,70,99,459,0,0
98.8,69,68,98,539,0,0
98.97,69,68,98,512,0,0
99.0,69,68,98,552,0,0
98.96,69,69,97,529,0,0
98.81,69,68,97,557,0,0
98.69,71,72,96,573,0,0
98.69,73,72,97,543,0,0
98.63,73,74,98,503,0,0
98.51,74,73,99,537,0,0
98.48,73,72,99,571,0,0
98.7,75,75,99,535,0,0
98.89,76,76,99,492,0,0
98.64,77,77,100,515,0,0
98.49,76,77,99,511,0,0
98.41,77,77,99,535,0,0
98.48,77,76,100,535,0,0
98.26,76,76,100,480,0,0
98.41,75,75,99,517,0,0
98.33,76,76,98,524,0,0
98.44,77,78,98,481,0,0
98.66,78,79,97,493,0,0
98.7,77,78,98,489,0,0
98.45,77,76,99,511,0,0
98.26,77,76,98,534,0,0
98.09,76,76,98,517,0,0
97.9,76,77,98,526,0,0
98.07,76,77,98,513,0,0
97.89,77,77,98,512,0,0
97.74,78,78,98,539,0,0
97.63,79,78,98,499,0,0
97.84,78,79,98,518,0,0
98.0,79,79,97,497,0,0
98.0,77,76,98,519,0,0
97.84,79,80,98,534,0,0
97.67,78,78,98,537,0,0
97.5,77,78,97,544,0,0
97.61,79,79,98,569,0,0
97.39,78,79,98,487,0,0
97.46,78,79,98,528,0,0
97.56,76,77,97,544,0,0
97.36,77,78,98,524,0,0
97.59,76,75,99,504,0,0
97.57,75,74,99,585,0,0
97.76,76,75,98,545,0,0
97.91,75,76,99,543,0,0
98.13,74,73,99,700,0,0
97.98,76,76,99,488,0,0
98.11,74,73,100,516,0,0
97.91,73,72,99,579,0,0
97.74,72,73,100,538,0,0
97.89,74,75,100,591,0,0
97.65,74,75,99,579,0,0
97.82,75,76,100,577,0,0
97.91,74,75,100,550,0,0
97.81,75,76,100,612,0,0
97.79,74,73,99,586,0,0
97.76,76,75,100,562,0,0
97.85,75,75,99,584,0,0
97.71,75,74,100,536,0,0
97.95,73,73,99,594,0,0
98.01,74,73,100,601,0,0
98.06,74,75,100,556,0,0
98.12,75,76,99,595,0,0
98.33,74,75,100,604,0,0
98.22,75,76,99,617,0,0
98.0,76,75,100,623,0,0
98.12,76,76,99,588,0,0
98.25,76,76,100,559,0,0
98.23,78,79,99,585,0,0
98.24,79,80,100,613,0,0
98.25,79,80,99,542,0,0
98.1,79,78,99,548,0,0
98.04,78,79,99,579,0,0
98.0,78,77,99,581,0,0
97.98,77,77,99,577,0,0
98.08,76,76,100,512,0,0
98.17,77,78,99,570,0,0
98.16,77,77,99,544,0,0
98.16,78,79,99,474,0,0
97.95,79,79,99,540,0,0
97.99,80,81,99,521,0,0
97.8,80,79,100,564,0,0
97.88,78,79,100,565,0,0
97.86,77,76,100,523,0,0
97.92,77,77,100,575,0,0
97.73,77,78,99,501,0,0
97.62,77,77,98,545,0,0
97.5,77,76,98,532,0,0
97.5,78,79,97,571,0,0
97.45,78,79,97,544,0,0
97.45,78,77,97,700,0,0
97.29,79,80,96,503,0,0
